Kia K5 II Седан,$ 13 800,,"2018 г., 2 л., автомат"
Daewoo Matiz,$ 2 500,,"2006 г., 0.8 л., механика"
Daewoo Matiz,$ 4 090,,"2006 г., 0.8 л., автомат"
Aito M7,$ 41 000,,"2023 г., 1.5 л., автомат"
Kia Morning,$ 7 726,,"2017 г., 1 л., автомат"
Mercedes-Benz CLS,$ 37 500,,"2024 г., 3 л., автомат"
Toyota RAV4,$ 24 300,,"2024 г., 2.5 л., автомат"
Zeekr 009,$ 64 000,,"2024 г., автомат"
Chevrolet Spark,$ 8 800,,"2017 г., 1 л., вариатор"
Zeekr 001,$ 36 600,,"2024 г., автомат"
Toyota Camry,$ 29 500,,"2024 г., 2 л., вариатор"
Nio ES6,$ 48 000,,"2023 г., автомат"
Honda Fit,$ 7 777,,"2007 г., 1.3 л., вариатор"
Toyota RAV4,$ 30 500,,"2021 г., 2.5 л., автомат"
Subaru Outback,$ 19 000,,"2020 г., 2.5 л., вариатор"
Wuling Starlight,$ 12 400,,"2024 г., 1.5 л., автомат"
Toyota RAV4,$ 10 999,,"2007 г., 2 л., автомат"
Chevrolet Spark,$ 7 840,,"2020 г., 1 л., вариатор"
Changan UNI-K,$ 28 000,,"2023 г., 1.5 л., автомат"
Toyota Allex,$ 5 200,,"2001 г., 1.5 л., автомат"
Xiaomi SU7,$ 34 500,,"2024 г., автомат"
Chevrolet Malibu,$ 13 500,,"2020 г., 1.5 л., вариатор"
Toyota Corolla,$ 14 950,,"2024 г., 1.6 л., вариатор"
Hongqi E-HS9,$ 70 000,,"2024 г., автомат"
Kia Carnival,$ 36 900,,"2020 г., 2.2 л., автомат"
Zeekr X,$ 28 000,,"2024 г., автомат"
Daewoo Matiz,$ 1 420,,"1999 г., 0.8 л., механика"
BAIC BJ60,$ 37 900,,"2024 г., 2 л., автомат"
Ford Bronco,$ 82 870,,"2024 г., 2.3 л., автомат"
BMW 5 серии,$ 35 000,,"2018 г., 2 л., автомат"
BMW 5 серии,$ 5 500,,"2002 г., 2.2 л., автомат"
BMW X5,$ 46 900,,"2017 г., 3 л., автомат"
BYD Yuan Up,$ 15 600,,"2024 г., автомат"
Kia K5 II Седан,$ 14 500,,"2018 г., 2 л., автомат"
Hongqi H5,$ 20 500,,"2024 г., 2 л., автомат"
Huawei Seres SF5,$ 45 000,,"2024 г., автомат"
Honda CR-V,$ 6 500,,"2002 г., 2 л., механика"
Chery Tiggo 8,$ 19 600,,"2024 г., 1.5 л., робот"
Hongqi HS5,$ 23 500,,"2024 г., 2 л., автомат"
Chevrolet Spark,$ 7 300,,"2018 г., 1 л., механика"
BAIC BJ40,$ 30 000,,"2023 г., 2 л., автомат"
IM Motors (Zhiji) L7,$ 41 500,,"2024 г., автомат"
Honda Stream,$ 6 477,,"2002 г., 2 л., автомат"
EXEED TXL,$ 27 650,,"2024 г., 2 л., автомат"
SsangYong Rexton,$ 9 000,,"2005 г., 2.7 л., автомат"
Ford Explorer,$ 53 500,,"2024 г., 2.3 л., автомат"
BYD Yangwang U8,$ 171 000,,"2023 г., 2 л., автомат"
Mercedes-Benz E-Класс AMG,$ 18 700,,"2000 г., 5.4 л., автомат"
Chery Arrizo 8,$ 16 800,,"2023 г., 1.6 л., робот"
Hyundai Sonata,$ 8 500,,"2016 г., 2 л., автомат"
Toyota Prius,$ 8 400,,"2006 г., 1.5 л., автомат"
Xpeng G9,$ 40 000,,"2023 г., автомат"
Toyota Camry,$ 14 800,,"2016 г., 2.5 л., автомат"
Nissan Primera,$ 1 363,,"1999 г., 2 л., автомат"
Hyundai Avante,$ 13 499,,"2019 г., 1.6 л., вариатор"
Geely Preface,$ 20 000,,"2023 г., 2 л., робот"
Toyota Camry,$ 16 499,,"2016 г., 2 л., автомат"
Hyundai Sonata,$ 15 499,,"2019 г., 2 л., автомат"
BYD Han,$ 39 000,,"2024 г., автомат"
Hyundai Sonata,$ 12 900,,"2017 г., 2.4 л., автомат"
Tank 400,$ 40 000,,"2023 г., 2 л., автомат"
Kia Morning,$ 8 200,,"2018 г., 1 л., автомат"
BYD Qin,$ 13 000,,"2024 г., 1.5 л., робот"
Voyah Passion,$ 35 500,,"2023 г., автомат"
Geely Monjaro,$ 25 900,,"2024 г., 2 л., автомат"
BYD Song L,$ 35 000,,"2024 г., автомат"
Geely Geometry E,$ 9 600,,"2024 г., автомат"
Tank 300,$ 35 000,,"2024 г., 2 л., автомат"
Lexus LX,$ 53 000,,"2013 г., 5.7 л., автомат"
Hyundai Kona,$ 20 700,,"2021 г., 1.6 л., робот"
Toyota 4Runner,$ 65 000,,"2017 г., 4 л., автомат"
Jetour Dashing,$ 15 200,,"2024 г., 1.5 л., робот"
Geely Preface,$ 23 000,,"2023 г., 2 л., робот"
Mercedes-Benz CL-Класс,$ 23 000,,"2007 г., 5.5 л., автомат"
Jetour Traveller,$ 23 000,,"2023 г., 2 л., автомат"
Honda Fit,$ 5 227,,"2002 г., 1.3 л., вариатор"
Honda Fit,$ 6 817,,"2004 г., 1.3 л., вариатор"
Hyundai Palisade,$ 41 800,,"2020 г., 3.8 л., автомат"
Hyundai Santa Fe,$ 27 500,,"2018 г., 2.2 л., автомат"
Lynk & Co 3,$ 17 100,,"2024 г., 2 л., автомат"
Toyota 4Runner,$ 19 900,,"2005 г., 4 л., автомат"
Lynk & Co 8,$ 34 500,,"2024 г., 1.5 л., автомат"
Toyota Ractis,$ 6 900,,"2006 г., 1.5 л., вариатор"
Kia Optima,$ 13 300,,"2017 г., 2.4 л., автомат"
Mercedes-Benz EQE,$ 40 500,,"2024 г., автомат"
Aito M9,$ 75 000,,"2024 г., 1.5 л., автомат"
GAC Trumpchi Empow,$ 22 200,,"2024 г., 2 л., автомат"
Jaguar E-Pace,$ 39 900,,"2024 г., 2 л., автомат"
GAC Trumpchi M8,$ 41 500,,"2024 г., 2 л., автомат"
Honda Fit,$ 6 300,,"2003 г., 1.3 л., вариатор"
Lexus RX,$ 49 800,,"2020 г., 3.5 л., вариатор"
Hyundai Grandeur,$ 17 200,,"2018 г., 2.4 л., автомат"
GAC Aion Y,$ 13 900,,"2024 г., автомат"
Toyota Land Cruiser,$ 32 000,,"2009 г., 4.7 л., автомат"
Xpeng P7i,$ 36 700,,"2024 г., автомат"
Subaru Outback,$ 37 000,,"2023 г., 2.5 л., вариатор"
Toyota Camry,$ 19 999,,"2019 г., 2.5 л., автомат"
Xpeng G6,$ 28 400,,"2024 г., автомат"
Subaru Outback,$ 19 499,,"2018 г., 2.5 л., вариатор"
Toyota Ipsum,$ 9 700,,"2004 г., 2.4 л., автомат"
Ford Mondeo,$ 22 800,,"2024 г., 2 л., автомат"
Mercedes-Benz C-Класс,$ 4 261,,"1999 г., 1.8 л., автомат"
Kia Morning,$ 7 999,,"2018 г., 1 л., автомат"
Tesla Model Y,$ 40 000,,"2024 г., автомат"
Toyota Camry,$ 5 227,,"1998 г., 2.2 л., автомат"
Tank 500,$ 48 000,,"2023 г., 2 л., автомат"
Toyota Highlander,$ 33 800,,"2017 г., 3.5 л., автомат"
Xpeng X9,$ 51 800,,"2024 г., автомат"
BMW X5,$ 44 500,,"2018 г., 3 л., автомат"
BMW X5 M,$ 25 000,,"2011 г., 4.4 л., автомат"
Subaru Forester,$ 20 500,,"2019 г., 2.5 л., вариатор"
Cadillac XT5,$ 42 835,,"2024 г., 2 л., автомат"
Lexus LX,$ 60 000,,"2013 г., 5.7 л., автомат"
Jetour X70,$ 21 800,,"2024 г., 1.5 л., автомат"
Toyota RAV4,$ 22 300,,"2018 г., 2.5 л., автомат"
Changan CS95PLUS,$ 25 100,,"2024 г., 2 л., автомат"
ВАЗ (Lada) 2107,$ 2 841,,"2008 г., 1.6 л., механика"
Toyota Avensis,$ 4 545,,"1999 г., 1.6 л., механика"
Toyota Highlander,$ 33 500,,"2017 г., 3.5 л., автомат"
Changan Yida,$ 11 200,,"2024 г., 1.5 л., робот"
Changan Lumin,$ 6 900,,"2024 г., автомат"
Toyota RAV4,$ 22 300,,"2017 г., 2.5 л., автомат"
Volvo XC60,$ 46 980,,"2024 г., 2 л., автомат"
Honda Fit,$ 6 600,,"2003 г., 1.3 л., вариатор"
Toyota Prius,$ 17 700,,"2017 г., 1.8 л., вариатор"
Hyundai Accent,$ 10 300,,"2015 г., 1.6 л., автомат"
Land Rover Range Rover Sport,$ 48 000,,"2017 г., 3 л., автомат"
Buick Enclave,$ 27 500,,"2024 г., 3.6 л., автомат"
Lexus RX,$ 7 954,,"1999 г., 3 л., автомат"
Lexus RX,$ 16 900,,"2005 г., 3.3 л., автомат"
Toyota Prius,$ 17 700,,"2017 г., 1.8 л., вариатор"
Lexus RX,$ 15 900,,"2003 г., 3.3 л., автомат"
Lexus RX,$ 16 500,,"2004 г., 3.3 л., автомат"
Daewoo Matiz,$ 1 704,,"2011 г., 0.8 л., механика"
Subaru Forester,$ 18 700,,"2017 г., 2.5 л., вариатор"
Mercedes-Benz E-Класс,$ 6 477,,"2002 г., 3.2 л., автомат"
GAC Trumpchi E9,$ 49 500,,"2024 г., 2 л., автомат"
Hyundai Santa Fe,$ 29 000,,"2018 г., 2.2 л., автомат"
Volkswagen Passat,$ 14 000,,"2017 г., 1.8 л., робот"
Toyota Camry,$ 22 500,,"2018 г., 2.5 л., автомат"
Voyah Dream,$ 52 535,,"2024 г., 1.5 л., автомат"
Honda CR-V,$ 10 600,,"2006 г., 2 л., автомат"
Toyota Prius,$ 17 700,,"2017 г., 1.8 л., вариатор"
Toyota Land Cruiser,$ 37 900,,"2008 г., 4.7 л., автомат"
EXEED VX,$ 33 500,,"2024 г., 2 л., автомат"
Toyota Highlander,$ 10 500,,"2002 г., 3 л., автомат"
EXEED LX,$ 19 500,,"2024 г., 1.6 л., робот"
Wuling Mini EV,$ 5 700,,"2024 г., автомат"
Wuling Xingchi,$ 10 300,,"2024 г., 1.5 л., вариатор"
Hyundai Solaris,$ 6 691,,"2011 г., 1.6 л., автомат"
Wuling Mini EV,$ 9 100,,"2024 г., автомат"
Lexus GS,$ 11 500,,"2006 г., 3 л., автомат"
Lexus IS,$ 11 500,,"2006 г., 2.5 л., автомат"
Geely Galaxy L7,$ 17 370,,"2024 г., 1.5 л., автомат"
BMW X5,$ 33 990,,"2018 г., 3 л., автомат"
Honda Fit,$ 6 477,,"2004 г., 1.5 л., автомат"
Geely Binyue Cool,$ 13 100,,"2024 г., 1.5 л., робот"
Honda Fit,$ 9 431,,"2009 г., 1.5 л., автомат"
Chevrolet Spark,$ 7 726,,"2017 г., 1 л., вариатор"
Geely Binyue,$ 9 900,,"2024 г., 1.5 л., робот"
Hyundai Grandeur,$ 15 000,,"2018 г., 3 л., автомат"
Hyundai Palisade,$ 28 000,,"2019 г., 2.2 л., автомат"
Daewoo Lanos (Sens),$ 1 534,,"1998 г., 1.5 л., механика"
Nissan Rogue,$ 15 300,,"2018 г., 2.5 л., вариатор"
Chevrolet Monza,$ 12 400,,"2024 г., 1.5 л., автомат"
Lexus GX,$ 17 700,,"2003 г., 4.7 л., автомат"
Toyota Camry,$ 12 500,,"2011 г., 2.5 л., автомат"
Hyundai Sonata,$ 16 000,,"2019 г., 2 л., автомат"
Hyundai Elantra,$ 14 000,,"2024 г., 1.4 л., робот"
Lexus RX,$ 38 000,,"2016 г., 3.5 л., вариатор"
BYD Tang,$ 29 000,,"2023 г., 1.5 л., автомат"
Toyota Camry,$ 7 158,,"2005 г., 2.4 л., механика"
Honda Odyssey,$ 6 200,,"2002 г., 2.3 л., автомат"
Daewoo Matiz,$ 23,,"2007 г., 0.8 л., механика"
Mercedes-Benz E-Класс,$ 3 068,,"1992 г., 3.2 л., механика"
Toyota Camry,$ 15 800,,"2015 г., 2.5 л., автомат"
Volkswagen Golf,$ 6 477,,"2002 г., 2 л., автомат"
Chevrolet Spark,$ 3 295,,"2005 г., 0.8 л., механика"
Toyota Camry,$ 8 976,,"2003 г., 2.4 л., автомат"
Honda Fit,$ 4 943,,"2001 г., 1.3 л., вариатор"
Subaru Outback,$ 15 500,,"2018 г., 2.5 л., вариатор"
Daewoo Matiz,$ 1 818,,"1999 г., 0.8 л., механика"
Toyota Camry,$ 11 700,,"2008 г., 2.4 л., вариатор"
Subaru Forester,$ 14 500,,"2017 г., 2.5 л., вариатор"
ВАЗ (Lada) 2109,$ 3 500,,"2006 г., 1.5 л., механика"
Toyota Aristo,$ 5 800,,"2000 г., 3 л., автомат"
Mitsubishi Space Star,$ 2 841,,"2002 г., 1.8 л., механика"
Lexus GX,$ 26 700,,"2008 г., 4.7 л., автомат"
BMW 5 серии,$ 32 800,,"2018 г., 3 л., автомат"
Toyota Alphard,$ 56 000,,"2017 г., 3.5 л., автомат"
Hyundai Sonata,$ 13 800,,"2018 г., 2 л., автомат"
Toyota Camry,$ 17 400,,"2019 г., 2.5 л., автомат"
Honda Jazz,$ 8 000,,"2005 г., 1.3 л., механика"
Toyota RAV4,$ 23 500,,"2018 г., 2.5 л., автомат"
Hyundai Sonata,$ 14 300,,"2017 г., 2 л., автомат"
Mercedes-Benz E-Класс AMG,$ 19 000,,"2000 г., 5.4 л., автомат"
Toyota Land Cruiser,$ 37 800,,"2013 г., 4.6 л., автомат"
Toyota Highlander,$ 47 000,,"2020 г., 2.5 л., автомат"
Mercedes-Benz S-Класс,$ 11 800,,"2008 г., 5.5 л., автомат"
Toyota Prius,$ 9 600,,"2011 г., 1.8 л., автомат"
Lexus RX,$ 19 000,,"2010 г., 3.5 л., вариатор"
Toyota Camry,$ 31 800,,"2021 г., 2.5 л., автомат"
Kia K5 II Седан,$ 15 000,,"2017 г., 2 л., автомат"
Daewoo Nexia,$ 1 534,,"2005 г., 1.5 л., механика"
Toyota Highlander,$ 38 000,,"2020 г., 3.5 л., автомат"
Toyota Avalon,$ 31 000,,"2019 г., 2.5 л., вариатор"
Volkswagen Jetta,$ 18 000,,"2020 г., 1.4 л., автомат"
Hyundai Sonata,$ 10 800,,"2017 г., 2 л., автомат"
Mercedes-Benz S-Класс,$ 10 500,,"1998 г., 3.2 л., автомат"
Honda Accord,$ 22 700,,"2018 г., 1.5 л., вариатор"
BMW 5 серии,$ 37 500,,"2017 г., 3 л., автомат"
Honda Accord,$ 26 400,,"2021 г., 1.5 л., вариатор"
Lexus ES,$ 16 800,,"2010 г., 3.5 л., автомат"
Lexus RX,$ 38 500,,"2018 г., 3.5 л., автомат"
Toyota Aygo,$ 5 227,,"2008 г., 1 л., механика"
Honda Fit,$ 4 999,,"2001 г., 1.3 л., вариатор"
Lexus NX,$ 21 900,,"2017 г., 2 л., автомат"
Daewoo Matiz,$ 1 420,,"2004 г., 0.8 л., механика"
Kia K5 III Седан,$ 18 800,,"2020 г., 2 л., автомат"
Daewoo Matiz,$ 1 363,,"1998 г., 0.8 л., механика"
Toyota Land Cruiser,$ 10 000,,"1997 г., 4.5 л., механика"
Mercedes-Benz E-Класс,$ 11 800,,"2000 г., 3.2 л., автомат"
BMW X5,$ 26 500,,"2016 г., 3 л., автомат"
Subaru Forester,$ 18 000,,"2019 г., 2.5 л., вариатор"
Subaru Legacy,$ 13 900,,"2018 г., 2.5 л., вариатор"
Daewoo Matiz,$ 2 800,,"2007 г., 0.8 л., механика"
Subaru Forester,$ 14 800,,"2017 г., 2.5 л., вариатор"
Subaru Outback,$ 8 000,,"2005 г., 2.5 л., автомат"
Toyota Estima,$ 10 550,,"2005 г., 2.4 л., автомат"
BMW 5 серии,$ 12 500,,"2011 г., 2 л., автомат"
Toyota Camry (Japan),$ 9 800,,"2004 г., 2.4 л., автомат"
Toyota Camry,$ 20 200,,"2017 г., 2.5 л., автомат"
Toyota Camry,$ 24 000,,"2018 г., 2.5 л., вариатор"
